value,sign,signchar
1,pisces,+
1,aquarius,ü
1,capricorn,p
1,sagittarius,o
1,scorpio,i
1,libra,u
1,virgo,z
1,leo,t
1,cancer,r
1,gemini,e
1,taurus,w
1,aries,q
